event,start,end,fclass,rads,s_time,e_time,is_analyzable
2023-12-31T21:55,2023-12-31T21:36,2023-12-31T22:08,X5,-,2023-12-31T21:30,2023-12-31T22:30,0
2023-12-14T17:02,2023-12-14T16:47,2023-12-14T17:12,X2.87,-,2023-12-14T16:30,2023-12-14T17:30,0
2023-02-17T20:16,2023-02-17T19:38,2023-02-17T20:50,X2.2,-,2023-02-17T19:30,2023-02-17T21:30,0
2023-03-03T17:52,2023-03-03T17:42,2023-03-03T17:59,X2.07,-,2023-03-03T17:30,2023-03-03T18:30,0
2023-01-09T18:50,2023-01-09T18:37,2023-01-09T18:57,X1.9,-,2023-01-09T18:30,2023-01-09T19:30,0
2023-08-05T22:21,2023-08-05T21:45,2023-08-05T22:44,X1.63,-,2023-08-05T21:30,2023-08-05T23,0
2023-08-07T20:46,2023-08-07T20:30,2023-08-07T21:18,X1.51,-,2023-08-07T20:15,2023-08-07T21:45,0
2023-06-20T17:09,2023-06-20T16:42,2023-06-20T17:26,X1.11,-,2023-06-20T16:30,2023-06-20T18,0
2023-02-11T15:48,2023-02-11T15:40,2023-02-11T15:54,X1.1,-,2023-02-11T15:30,2023-02-11T16:30,0
2023-07-02T23:14,2023-07-02T22:54,2023-07-02T23:59,X1,-,2023-07-02T22:30,2023-07-02T23:30,0
2023-01-10T22:47,2023-01-10T22:39,2023-01-10T22:52,X1,-,2023-01-10T22:30,2023-01-10T23:30,0
2023-11-28T19:50,2023-11-28T19:35,2023-11-28T20:05,M9.82,-,2023-11-28T19:30,2023-11-28T20:30,0
2023-05-16T16:43,2023-05-16T16:31,2023-05-16T16:51,M9.62,-,2023-05-16T16,2023-05-16T17:30,0
2023-02-28T17:50,2023-02-28T17:35,2023-02-28T17:56,M8.62,-,2023-02-28T17,2023-02-28T19,0
2023-09-20T14:19,2023-09-20T14:11,2023-09-20T14:25,M8.23,-,2023-09-20T14,2023-09-20T15,0
2023-05-01T13:09,2023-05-01T13:02,2023-05-01T13:13,M7.1,-,2023-05-01T13,2023-05-01T13:30,0
,,,,-,,,0
