start,event,end,fclass,rads,is_analyzable,s_time,e_time
2021-02-27 17:51:00,2021-02-27 18:00:00,2021-02-27 18:05:00,C2.7,-,0,2021-02-27 17:00:00,2021-02-27 19:00:00
2021-04-19 23:19:00,2021-04-19 23:42:00,2021-04-19 23:59:00,M1.1,-,0,2021-04-19 22:00:00,2021-04-20 01:00:00
2021-04-22 14:13:00,2021-04-22 14:30:00,2021-04-22 14:43:00,C2.5,-,0,2021-04-22 13:00:00,2021-04-22 16:00:00
2021-04-22 20:02:00,2021-04-22 20:11:00,2021-04-22 20:20:00,C8.5,-,0,2021-04-22 19:00:00,2021-04-22 21:00:00
2021-04-23 22:39:00,2021-04-23 22:54:00,2021-04-23 23:08:00,C2.2,-,0,2021-04-23 22:00:00,2021-04-24 00:00:00
2021-04-23 23:08:00,2021-04-23 23:12:00,2021-04-23 23:16:00,C2.4,-,0,2021-04-23 22:00:00,2021-04-24 00:00:00
2021-05-07 18:43:00,2021-05-07 19:04:00,2021-05-07 19:19:00,M3.9,-,0,2021-05-07 18:00:00,2021-05-07 20:00:00
2021-05-08 18:22:00,2021-05-08 18:45:00,2021-05-08 18:58:00,C8.6,-,0,2021-05-08 17:00:00,2021-05-08 20:00:00
2021-05-09 14:20:00,2021-05-09 14:49:00,2021-05-09 15:25:00,C2.0,-,0,2021-05-09 13:00:00,2021-05-09 16:00:00
2021-05-21 19:15:00,2021-05-21 19:28:00,2021-05-21 19:32:00,C4.8,-,0,2021-05-21 18:00:00,2021-05-21 21:00:00
2021-05-22 14:04:00,2021-05-22 14:16:00,2021-05-22 14:25:00,C1.1,-,0,2021-05-22 13:00:00,2021-05-22 15:00:00
2021-05-22 15:12:00,2021-05-22 15:35:00,2021-05-22 15:44:00,C3.2,-,0,2021-05-22 14:00:00,2021-05-22 17:00:00
2021-05-22 16:03:00,2021-05-22 16:18:00,2021-05-22 16:25:00,C1.8,-,0,2021-05-22 15:00:00,2021-05-22 17:00:00
2021-05-22 17:03:00,2021-05-22 17:11:00,2021-05-22 17:16:00,M1.1,-,0,2021-05-22 16:00:00,2021-05-22 18:00:00
2021-05-22 21:30:00,2021-05-22 21:36:00,2021-05-22 21:43:00,M1.4,-,0,2021-05-22 21:00:00,2021-05-22 23:00:00
2021-05-22 21:53:00,2021-05-22 22:00:00,2021-05-22 22:05:00,C1.8,-,0,2021-05-22 21:00:00,2021-05-22 23:00:00
2021-05-22 23:05:00,2021-05-22 23:13:00,2021-05-22 23:17:00,C6.8,-,0,2021-05-22 22:00:00,2021-05-23 00:00:00
2021-05-23 17:00:00,2021-05-23 17:05:00,2021-05-23 17:10:00,C2.2,-,0,2021-05-23 16:00:00,2021-05-23 18:00:00
2021-05-26 17:03:00,2021-05-26 17:14:00,2021-05-26 17:20:00,C1.2,-,0,2021-05-26 16:00:00,2021-05-26 18:00:00
2021-05-26 18:22:00,2021-05-26 18:30:00,2021-05-26 18:34:00,C1.6,-,0,2021-05-26 17:00:00,2021-05-26 20:00:00
2021-05-26 20:26:00,2021-05-26 20:37:00,2021-05-26 20:52:00,C3.0,-,0,2021-05-26 19:00:00,2021-05-26 22:00:00
