event,start,end,fclass,call_sign,s_time,e_time
2021-10-28T15:35,2021-10-28T15:17,2021-10-28T15:48,X1,N8OBJ/7-AD8Y/8-W2NAF/14-KD2UHN/15-N2RKL/34-KB1HFT/36-W7LUX/29,2021-10-28T15,2021-10-28T16
2021-07-03T14:29,2021-07-03T14:18,2021-07-03T14:34,X1.59,N8OBJ/7-AD8Y/8-KB3UMD/9-W2NAF/14-KD2UHN/15,2021-07-03T14,2021-07-03T15
2022-05-10T13:55,2022-05-10T13:50,2022-05-10T13:59,X1.5,N8OBJ/7-W2NAF/14-W7LUX/29-WCOY/38-KM4YMI/39,2022-05-10T13:30,2022-05-10T14:30
2022-03-30T17:37,2022-03-30T17:21,2022-03-30T17:46,X1.3,N8OBJ/7-KD8SYG/10-K2MFF/20-KD9CGH/22,2022-03-30T17,2022-03-30T18
2022-05-03T13:25,2022-05-03T13:08,2022-05-03T13:31,X1.1,AD8Y/8-N8ET/41,2022-05-03T13,2022-05-03T14
2022-04-30T13:47,2022-04-30T13:37,2022-04-30T13:52,X1.1,K2MFF/20-W7LUX/29-N2RKL/34-KB1HFT/36-SP6HFE/42,2022-04-30T13:30,2022-04-30T14:30
2023-01-09T18:50,2023-01-09T18:37,2023-01-09T18:57,X1.9,WC0Y/38,2023-01-09T18:30,2023-01-09T19:30
2023-08-05T22:21,2023-08-05T21:45,2023-08-05T22:44,X1.63,N8OBJ/7-K2MFF/20,2023-08-05T21:30,2023-08-05T23
2023-06-20T17:09,2023-06-20T16:42,2023-06-20T17:26,X1.11,AD8Y/8-AB1XB/33-,2023-06-20T16:30,2023-06-20T18
2023-02-11T15:48,2023-02-11T15:40,2023-02-11T15:54,X1.1,N8OBJ/7-KM4YMI/39,2023-02-11T15:30,2023-02-11T16:30
2021-05-07T19:04,2021-05-07T18:43,2021-05-07T19:19,M3.9,N8OBJ/7-AD8Y/8-KD2UHN/15-W7LUX/29,2021-05-07T18:30,2021-05-07T19:30
2021-09-23T15:28,2021-09-23T15:23,2021-09-23T15:39,M1.89,N8OBJ/7-AD8Y/8-KB3UMD/9-W2NAF/14-KD2UHN/15-K4BSE/30-AB1XB/33,2021-09-23T15,2021-09-23T16
