#,2021-10-28T00:00:00Z,N0000001,EN91fh,41.3219273, -81.5047731, 285,Macedonia Ohio,G1,WWV5
#######################################
# MetaData for Grape Gen 1 Station
#
# Station Node Number      N0000001
# Callsign                 N8OBJ
# Grid Square              EN91fh
# Lat, Long, Elv           41.3219273, -81.5047731, 285
# City State               Macedonia Ohio
# Radio1                   Grape Gen 1 Rcvr 1
# Radio1ID                 G1
# Antenna                  DXEng RF-PRO-1B 10dB N8OBJ Preamp
# Frequency Standard       LB GPSDO
# System Info              RasPi3B+, Raspian OS, FLDigi V4.1.13 (N8OBJ Modified)
#
# Beacon Now Decoded       WWV5
#
#######################################
UTC,Freq,Vpk
2021-10-28T00:00:00Z,  4999999.864, 0.225805
2021-10-28T00:00:01Z,  4999999.911, 0.273755
2021-10-28T00:00:02Z,  4999999.965, 0.311631
2021-10-28T00:00:03Z,  5000000.115, 0.307792
2021-10-28T00:00:04Z,  5000000.085, 0.301293
2021-10-28T00:00:05Z,  4999999.964, 0.220712
2021-10-28T00:00:06Z,  4999999.992, 0.153661
2021-10-28T00:00:07Z,  4999999.982, 0.139438
2021-10-28T00:00:08Z,  5000000.042, 0.106009
2021-10-28T00:00:09Z,  5000000.166, 0.147383
2021-10-28T00:00:10Z,  5000000.133, 0.201584
2021-10-28T00:00:11Z,  5000000.065, 0.246732
2021-10-28T00:00:12Z,  4999999.995, 0.262578
2021-10-28T00:00:13Z,  4999999.916, 0.217427
2021-10-28T00:00:14Z,  4999999.919, 0.240541
2021-10-28T00:00:15Z,  4999999.932, 0.289759
2021-10-28T00:00:16Z,  4999999.973, 0.310544
2021-10-28T00:00:17Z,  5000000.164, 0.304262
2021-10-28T00:00:18Z,  5000000.165, 0.259921
2021-10-28T00:00:19Z,  5000000.176, 0.229624
2021-10-28T00:00:20Z,  5000000.185, 0.288179
2021-10-28T00:00:21Z,  5000000.091, 0.406214
2021-10-28T00:00:22Z,  5000000.104, 0.455036
2021-10-28T00:00:23Z,  5000000.136, 0.425607
2021-10-28T00:00:24Z,  5000000.020, 0.325336
2021-10-28T00:00:25Z,  5000000.012, 0.220918
2021-10-28T00:00:26Z,  4999999.998, 0.164517
2021-10-28T00:00:27Z,  5000000.021, 0.141749
2021-10-28T00:00:28Z,  5000000.135, 0.171349
2021-10-28T00:00:29Z,  5000000.193, 0.176379
2021-10-28T00:00:30Z,  5000000.156, 0.170496
2021-10-28T00:00:32Z,  5000000.052, 0.216527
2021-10-28T00:00:33Z,  4999999.993, 0.227167
2021-10-28T00:00:34Z,  4999999.875, 0.247400
2021-10-28T00:00:35Z,  4999999.900, 0.254653
2021-10-28T00:00:36Z,  5000000.021, 0.217084
2021-10-28T00:00:37Z,  5000000.069, 0.271857
2021-10-28T00:00:38Z,  5000000.109, 0.295256
2021-10-28T00:00:39Z,  5000000.134, 0.262988
2021-10-28T00:00:40Z,  5000000.004, 0.262108
2021-10-28T00:00:41Z,  4999999.965, 0.198147
2021-10-28T00:00:42Z,  4999999.959, 0.214462
2021-10-28T00:00:43Z,  4999999.944, 0.272670
2021-10-28T00:00:44Z,  5000000.008, 0.285115
2021-10-28T00:00:45Z,  5000000.128, 0.265208
2021-10-28T00:00:46Z,  5000000.141, 0.250234
2021-10-28T00:00:47Z,  5000000.130, 0.243100
2021-10-28T00:00:48Z,  5000000.118, 0.254153
2021-10-28T00:00:49Z,  5000000.066, 0.295408
2021-10-28T00:00:50Z,  5000000.125, 0.267457
2021-10-28T00:00:51Z,  5000000.138, 0.253022
2021-10-28T00:00:52Z,  5000000.159, 0.221698
2021-10-28T00:00:53Z,  5000000.114, 0.174676
2021-10-28T00:00:54Z,  4999999.949, 0.162263
