#,2021-10-28T00:00:00Z,N0000002,EN91fl,41.493744, -81.578039, 300,Cleveland Hts Ohio,S1,WWV2p5
#######################################
# MetaData for Grape Gen 1 Station
#
# Station Node Number      N0000002
# Callsign                 AD8Y
# Grid Square              EN91fl
# Lat, Long, Elv           41.493744, -81.578039, 300
# City State               Cleveland Hts Ohio
# Radio1                   ICOM IC-7610
# Radio1ID                 S1
# Antenna                  40 meter dipole, 10 meters off ground
# Frequency Standard       LB GPSDO
# System Info              RasPi3B+, Raspian OS, FLDigi V4.1.13 (N8OBJ Modified)
#
# Beacon Now Decoded       WWV2p5
#
#######################################
UTC,Freq,Vpk
2021-10-28T00:00:00Z,  2500000.089, 0.037817
2021-10-28T00:00:01Z,  2500000.122, 0.037826
2021-10-28T00:00:02Z,  2500000.202, 0.034169
2021-10-28T00:00:03Z,  2500000.203, 0.033602
2021-10-28T00:00:04Z,  2500000.184, 0.035063
2021-10-28T00:00:06Z,  2500000.182, 0.033421
2021-10-28T00:00:07Z,  2499999.995, 0.030036
2021-10-28T00:00:08Z,  2500000.009, 0.025616
2021-10-28T00:00:09Z,  2500000.017, 0.022479
2021-10-28T00:00:10Z,  2500000.002, 0.024727
2021-10-28T00:00:11Z,  2500000.033, 0.029951
2021-10-28T00:00:12Z,  2499999.978, 0.032467
2021-10-28T00:00:13Z,  2499999.982, 0.035859
2021-10-28T00:00:14Z,  2500000.020, 0.036081
2021-10-28T00:00:15Z,  2499999.995, 0.030162
2021-10-28T00:00:16Z,  2500000.034, 0.027391
2021-10-28T00:00:17Z,  2500000.023, 0.024272
2021-10-28T00:00:18Z,  2499999.950, 0.021511
2021-10-28T00:00:19Z,  2499999.965, 0.024959
2021-10-28T00:00:20Z,  2499999.936, 0.029588
2021-10-28T00:00:21Z,  2499999.975, 0.028499
2021-10-28T00:00:22Z,  2500000.085, 0.031215
2021-10-28T00:00:23Z,  2500000.162, 0.031943
2021-10-28T00:00:24Z,  2500000.242, 0.026978
2021-10-28T00:00:25Z,  2500000.229, 0.026522
2021-10-28T00:00:26Z,  2500000.230, 0.026914
2021-10-28T00:00:27Z,  2500000.255, 0.024972
2021-10-28T00:00:28Z,  2500000.237, 0.025901
2021-10-28T00:00:29Z,  2500000.231, 0.025683
2021-10-28T00:00:30Z,  2500000.244, 0.025445
2021-10-28T00:00:31Z,  2500000.178, 0.031190
2021-10-28T00:00:32Z,  2500000.157, 0.035870
2021-10-28T00:00:33Z,  2500000.156, 0.038731
2021-10-28T00:00:34Z,  2500000.162, 0.038596
2021-10-28T00:00:35Z,  2500000.207, 0.035322
2021-10-28T00:00:36Z,  2500000.214, 0.034625
2021-10-28T00:00:37Z,  2500000.248, 0.032238
2021-10-28T00:00:38Z,  2500000.245, 0.033022
2021-10-28T00:00:39Z,  2500000.208, 0.034735
2021-10-28T00:00:40Z,  2500000.179, 0.033968
2021-10-28T00:00:41Z,  2500000.226, 0.028869
2021-10-28T00:00:42Z,  2500000.183, 0.025616
2021-10-28T00:00:43Z,  2500000.164, 0.022688
2021-10-28T00:00:44Z,  2500000.252, 0.018223
2021-10-28T00:00:45Z,  2500000.160, 0.023669
2021-10-28T00:00:46Z,  2500000.154, 0.022194
2021-10-28T00:00:48Z,  2500000.201, 0.017138
2021-10-28T00:00:49Z,  2500000.094, 0.016898
2021-10-28T00:00:50Z,  2500000.039, 0.016698
2021-10-28T00:00:51Z,  2499999.888, 0.015273
2021-10-28T00:00:52Z,  2499999.712, 0.016680
2021-10-28T00:00:53Z,  2499999.747, 0.016386
2021-10-28T00:00:54Z,  2499999.794, 0.015719
2021-10-28T00:00:55Z,  2499999.967, 0.021782
2021-10-28T00:00:56Z,  2500000.053, 0.028030
2021-10-28T00:00:57Z,  2499999.976, 0.026038
2021-10-28T00:00:58Z,  2500000.028, 0.021622
2021-10-28T00:00:59Z,  2500000.048, 0.018303
2021-10-28T00:01:00Z,  2500000.033, 0.016876
2021-10-28T00:01:01Z,  2500000.098, 0.021493
2021-10-28T00:01:02Z,  2500000.067, 0.026953
2021-10-28T00:01:03Z,  2500000.048, 0.030239
2021-10-28T00:01:04Z,  2500000.059, 0.031564
2021-10-28T00:01:05Z,  2499999.984, 0.029825
2021-10-28T00:01:06Z,  2499999.989, 0.026694
2021-10-28T00:01:07Z,  2499999.993, 0.025031
2021-10-28T00:01:08Z,  2499999.994, 0.021285
2021-10-28T00:01:09Z,  2500000.019, 0.019777
2021-10-28T00:01:10Z,  2500000.022, 0.021855
2021-10-28T00:01:11Z,  2500000.040, 0.020494
2021-10-28T00:01:12Z,  2500000.081, 0.020671
2021-10-28T00:01:13Z,  2500000.075, 0.019798
2021-10-28T00:01:14Z,  2499999.956, 0.016326
2021-10-28T00:01:15Z,  2499999.930, 0.017297
2021-10-28T00:01:16Z,  2500000.023, 0.016591
2021-10-28T00:01:17Z,  2500000.104, 0.018191
2021-10-28T00:01:18Z,  2500000.250, 0.019530
2021-10-28T00:01:19Z,  2500000.248, 0.024860
