#,2021-10-28T00:00:00Z,N0000003,EN91fh,41.3219273, -81.5047731, 285,Macedonia Ohio,G1,WWV2p5
#######################################
# MetaData for Grape Gen 1 Station
#
# Station Node Number      N0000003
# Callsign                 N8OBJ
# Grid Square              EN91fh
# Lat, Long, Elv           41.3219273, -81.5047731, 285
# City State               Macedonia Ohio
# Radio1                   Grape Gen 1 Rcvr 1
# Radio1ID                 G1
# Antenna                  DXEng RF-PRO-1B 10dB N8OBJ Preamp
# Frequency Standard       LB GPSDO
# System Info              RasPi3B+, Raspian OS, FLDigi V4.1.13 (N8OBJ Modified)
#
# Beacon Now Decoded       WWV2p5
#
#######################################
UTC,Freq,Vpk
2021-10-28T00:00:00Z,  2499999.981, 0.046647
2021-10-28T00:00:01Z,  2500000.000, 0.045356
2021-10-28T00:00:02Z,  2500000.003, 0.044520
2021-10-28T00:00:03Z,  2500000.012, 0.048038
2021-10-28T00:00:04Z,  2499999.975, 0.050698
2021-10-28T00:00:05Z,  2499999.987, 0.053750
2021-10-28T00:00:06Z,  2499999.991, 0.060651
2021-10-28T00:00:07Z,  2500000.004, 0.065624
2021-10-28T00:00:08Z,  2500000.034, 0.073190
2021-10-28T00:00:09Z,  2500000.024, 0.075951
2021-10-28T00:00:10Z,  2499999.989, 0.070006
2021-10-28T00:00:11Z,  2499999.975, 0.068410
2021-10-28T00:00:12Z,  2499999.993, 0.066153
2021-10-28T00:00:13Z,  2500000.007, 0.069310
2021-10-28T00:00:14Z,  2500000.041, 0.070423
2021-10-28T00:00:15Z,  2500000.026, 0.062394
2021-10-28T00:00:16Z,  2499999.967, 0.052675
2021-10-28T00:00:17Z,  2499999.976, 0.045527
2021-10-28T00:00:18Z,  2500000.001, 0.047848
2021-10-28T00:00:19Z,  2500000.018, 0.053734
2021-10-28T00:00:20Z,  2500000.057, 0.053948
2021-10-28T00:00:21Z,  2499999.999, 0.050892
2021-10-28T00:00:22Z,  2499999.988, 0.052117
2021-10-28T00:00:23Z,  2499999.976, 0.055862
2021-10-28T00:00:24Z,  2499999.981, 0.061519
2021-10-28T00:00:25Z,  2499999.981, 0.059252
2021-10-28T00:00:26Z,  2500000.005, 0.050870
2021-10-28T00:00:27Z,  2500000.010, 0.048377
2021-10-28T00:00:28Z,  2500000.050, 0.052135
2021-10-28T00:00:29Z,  2500000.109, 0.054876
2021-10-28T00:00:30Z,  2500000.130, 0.053175
2021-10-28T00:00:31Z,  2499999.969, 0.041984
2021-10-28T00:00:32Z,  2499999.783, 0.033726
2021-10-28T00:00:33Z,  2499999.769, 0.039376
2021-10-28T00:00:35Z,  2499999.746, 0.049440
2021-10-28T00:00:36Z,  2500000.057, 0.053983
2021-10-28T00:00:37Z,  2499999.754, 0.049250
2021-10-28T00:00:38Z,  2499999.754, 0.040336
2021-10-28T00:00:39Z,  2499999.771, 0.036367
2021-10-28T00:00:40Z,  2499999.737, 0.046154
2021-10-28T00:00:41Z,  2500000.024, 0.055994
2021-10-28T00:00:42Z,  2499999.998, 0.063167
2021-10-28T00:00:43Z,  2499999.967, 0.071305
2021-10-28T00:00:44Z,  2499999.994, 0.076371
2021-10-28T00:00:45Z,  2500000.012, 0.088734
2021-10-28T00:00:46Z,  2500000.006, 0.089165
2021-10-28T00:00:47Z,  2499999.970, 0.083617
2021-10-28T00:00:48Z,  2499999.981, 0.085312
2021-10-28T00:00:49Z,  2499999.977, 0.088646
2021-10-28T00:00:50Z,  2500000.027, 0.087249
2021-10-28T00:00:51Z,  2499999.735, 0.074538
2021-10-28T00:00:52Z,  2499999.723, 0.064620
2021-10-28T00:00:53Z,  2499999.738, 0.061447
2021-10-28T00:00:54Z,  2499999.701, 0.070283
2021-10-28T00:00:55Z,  2500000.026, 0.076999
2021-10-28T00:00:56Z,  2499999.989, 0.066288
2021-10-28T00:00:57Z,  2499999.982, 0.053351
2021-10-28T00:00:58Z,  2499999.982, 0.049265
2021-10-28T00:00:59Z,  2500000.029, 0.051555
2021-10-28T00:01:00Z,  2499999.472, 0.048897
2021-10-28T00:01:01Z,  2499999.268, 0.042143
2021-10-28T00:01:02Z,  2499999.257, 0.041967
2021-10-28T00:01:03Z,  2499999.259, 0.046373
2021-10-28T00:01:04Z,  2500000.002, 0.052900
2021-10-28T00:01:05Z,  2499999.965, 0.050224
2021-10-28T00:01:06Z,  2499999.955, 0.043892
2021-10-28T00:01:07Z,  2499999.958, 0.041761
2021-10-28T00:01:08Z,  2499999.970, 0.044195
