#,2021-10-28T00:00:00Z,N0000004,EN91fl,41.493744, -81.578039, 300,Cleveland Hts Ohio,S1,CHU7
#######################################
# MetaData for Grape Gen 1 Station
#
# Station Node Number      N0000004
# Callsign                 AD8Y
# Grid Square              EN91fl
# Lat, Long, Elv           41.493744, -81.578039, 300
# City State               Cleveland Hts Ohio
# Radio1                   Kenwood TS-450S modified for external 20 MHz input
# Radio1ID                 S1
# Antenna                  Random vertical into attic
# Frequency Standard       Jackson Labs LTE Lite GPSDO
# System Info              RasPi3B+, Raspian OS, FLDigi V4.1.13 (N8OBJ Modified)
#
# Beacon Now Decoded       CHU7
#
#######################################
UTC,Freq,Vpk
2021-10-28T00:00:00Z,  7849999.281, 0.002984
2021-10-28T00:00:01Z,  7849999.676, 0.003150
2021-10-28T00:00:02Z,  7849999.598, 0.003426
2021-10-28T00:00:03Z,  7849999.765, 0.003529
2021-10-28T00:00:04Z,  7850000.053, 0.004015
2021-10-28T00:00:05Z,  7849999.374, 0.003920
2021-10-28T00:00:06Z,  7849999.851, 0.003616
2021-10-28T00:00:07Z,  7849999.927, 0.003600
2021-10-28T00:00:08Z,  7850000.332, 0.002666
2021-10-28T00:00:09Z,  7850000.635, 0.002652
2021-10-28T00:00:10Z,  7850000.482, 0.002557
2021-10-28T00:00:11Z,  7850000.193, 0.002407
2021-10-28T00:00:12Z,  7849999.948, 0.002840
2021-10-28T00:00:13Z,  7849999.393, 0.002972
2021-10-28T00:00:14Z,  7849999.404, 0.003204
2021-10-28T00:00:15Z,  7849999.079, 0.003465
2021-10-28T00:00:16Z,  7849998.526, 0.003263
2021-10-28T00:00:17Z,  7849998.720, 0.003362
2021-10-28T00:00:18Z,  7849998.770, 0.003317
2021-10-28T00:00:19Z,  7849998.708, 0.003156
2021-10-28T00:00:20Z,  7849999.376, 0.003128
2021-10-28T00:00:21Z,  7849999.622, 0.002991
2021-10-28T00:00:22Z,  7849999.700, 0.002516
2021-10-28T00:00:23Z,  7850000.185, 0.002383
2021-10-28T00:00:24Z,  7849999.765, 0.002638
2021-10-28T00:00:25Z,  7849999.908, 0.002650
2021-10-28T00:00:26Z,  7849999.872, 0.002666
2021-10-28T00:00:27Z,  7850000.294, 0.002720
2021-10-28T00:00:28Z,  7850000.615, 0.002505
2021-10-28T00:00:29Z,  7850000.559, 0.002356
2021-10-28T00:00:30Z,  7850000.266, 0.002625
2021-10-28T00:00:31Z,  7849999.519, 0.002726
2021-10-28T00:00:32Z,  7849999.156, 0.002836
2021-10-28T00:00:33Z,  7849999.275, 0.002851
2021-10-28T00:00:34Z,  7850000.047, 0.002776
2021-10-28T00:00:35Z,  7850000.198, 0.002831
2021-10-28T00:00:36Z,  7850001.056, 0.002615
2021-10-28T00:00:37Z,  7850000.567, 0.002619
2021-10-28T00:00:38Z,  7850000.300, 0.002740
2021-10-28T00:00:39Z,  7850000.435, 0.002927
2021-10-28T00:00:41Z,  7849999.569, 0.002978
2021-10-28T00:00:42Z,  7849999.736, 0.003148
2021-10-28T00:00:43Z,  7849999.553, 0.003023
2021-10-28T00:00:44Z,  7849999.548, 0.003307
2021-10-28T00:00:45Z,  7849999.441, 0.003641
2021-10-28T00:00:46Z,  7849999.391, 0.003391
2021-10-28T00:00:47Z,  7849999.716, 0.003484
2021-10-28T00:00:48Z,  7849999.550, 0.002745
2021-10-28T00:00:49Z,  7849999.542, 0.002480
2021-10-28T00:00:50Z,  7849999.910, 0.002548
2021-10-28T00:00:51Z,  7850000.076, 0.002437
2021-10-28T00:00:52Z,  7849999.910, 0.002548
2021-10-28T00:00:53Z,  7849999.593, 0.002910
2021-10-28T00:00:54Z,  7849999.305, 0.002887
2021-10-28T00:00:55Z,  7849999.018, 0.003252
2021-10-28T00:00:56Z,  7849999.190, 0.003665
2021-10-28T00:00:57Z,  7849999.542, 0.003224
2021-10-28T00:00:58Z,  7849999.390, 0.003220
2021-10-28T00:00:59Z,  7849999.594, 0.003334
2021-10-28T00:01:00Z,  7849999.668, 0.003065
2021-10-28T00:01:01Z,  7849999.630, 0.003706
2021-10-28T00:01:02Z,  7849999.658, 0.003798
2021-10-28T00:01:03Z,  7849999.988, 0.003189
2021-10-28T00:01:04Z,  7849999.999, 0.003008
2021-10-28T00:01:05Z,  7849999.888, 0.003005
2021-10-28T00:01:06Z,  7849999.962, 0.003262
2021-10-28T00:01:07Z,  7849999.557, 0.004092
2021-10-28T00:01:08Z,  7849999.437, 0.004216
2021-10-28T00:01:09Z,  7849999.978, 0.003587
2021-10-28T00:01:10Z,  7850000.335, 0.003351
2021-10-28T00:01:11Z,  7850000.055, 0.002843
