#,2021-10-28T00:00:00Z,N0000007,EN91fh,41.3219273,-81.5047731,285,Macedonia Ohio,G1,WWV10
#######################################
# MetaData for Grape Gen 1 Station
#
# Station Node Number      N0000007
# Callsign                 N8OBJ
# Grid Square              EN91fh
# Lat, Long, Elv           41.3219273,-81.5047731,285
# City State               Macedonia Ohio
# Radio1                   Grape Gen 1 Rcvr 1
# Radio1ID                 G1
# Antenna                  DXEng RF-PRO-1B 10dB N8OBJ Preamp
# Frequency Standard       LB GPSDO
# System Info              RasPi3B+, Raspian OS, FLDigi 4.1.13 (N8OBJ mods)
#
# Beacon Now Decoded       WWV10
#
#######################################
UTC,Freq,Vpk
2021-10-28T00:00:00Z, 10000000.188, 0.340751
2021-10-28T00:00:01Z, 10000000.208, 0.295829
2021-10-28T00:00:02Z, 10000000.226, 0.261034
2021-10-28T00:00:03Z, 10000000.219, 0.253483
2021-10-28T00:00:04Z, 10000000.204, 0.271879
2021-10-28T00:00:05Z, 10000000.194, 0.288569
2021-10-28T00:00:06Z, 10000000.124, 0.345822
2021-10-28T00:00:07Z, 10000000.165, 0.330736
2021-10-28T00:00:08Z, 10000000.226, 0.302542
2021-10-28T00:00:09Z, 10000000.237, 0.288401
2021-10-28T00:00:10Z, 10000000.268, 0.301436
2021-10-28T00:00:11Z, 10000000.247, 0.383828
2021-10-28T00:00:12Z, 10000000.223, 0.440799
2021-10-28T00:00:13Z, 10000000.219, 0.466547
2021-10-28T00:00:15Z, 10000000.253, 0.435344
2021-10-28T00:00:16Z, 10000000.254, 0.429015
2021-10-28T00:00:17Z, 10000000.237, 0.446378
2021-10-28T00:00:18Z, 10000000.242, 0.442408
2021-10-28T00:00:19Z, 10000000.227, 0.417390
2021-10-28T00:00:20Z, 10000000.235, 0.342348
2021-10-28T00:00:21Z, 10000000.267, 0.271721
2021-10-28T00:00:22Z, 10000000.240, 0.241530
2021-10-28T00:00:23Z, 10000000.240, 0.225533
2021-10-28T00:00:24Z, 10000000.246, 0.208386
2021-10-28T00:00:25Z, 10000000.178, 0.225514
2021-10-28T00:00:26Z, 10000000.192, 0.201037
2021-10-28T00:00:27Z, 10000000.168, 0.191011
2021-10-28T00:00:28Z, 10000000.150, 0.197215
2021-10-28T00:00:29Z, 10000000.221, 0.170308
2021-10-28T00:00:30Z, 10000000.237, 0.169537
2021-10-28T00:00:31Z, 10000000.247, 0.184519
2021-10-28T00:00:32Z, 10000000.277, 0.209911
2021-10-28T00:00:33Z, 10000000.236, 0.261215
2021-10-28T00:00:34Z, 10000000.194, 0.302839
2021-10-28T00:00:35Z, 10000000.249, 0.281976
2021-10-28T00:00:36Z, 10000000.258, 0.257381
2021-10-28T00:00:37Z, 10000000.234, 0.258720
2021-10-28T00:00:38Z, 10000000.265, 0.245328
2021-10-28T00:00:39Z, 10000000.230, 0.247593
2021-10-28T00:00:40Z, 10000000.251, 0.220896
2021-10-28T00:00:41Z, 10000000.267, 0.199352
2021-10-28T00:00:42Z, 10000000.271, 0.193080
2021-10-28T00:00:43Z, 10000000.241, 0.210368
2021-10-28T00:00:44Z, 10000000.234, 0.218974
2021-10-28T00:00:45Z, 10000000.247, 0.195733
2021-10-28T00:00:46Z, 10000000.223, 0.182982
2021-10-28T00:00:47Z, 10000000.260, 0.157386
2021-10-28T00:00:48Z, 10000000.268, 0.149950
2021-10-28T00:00:49Z, 10000000.237, 0.171158
2021-10-28T00:00:50Z, 10000000.252, 0.170767
2021-10-28T00:00:51Z, 10000000.234, 0.172232
2021-10-28T00:00:52Z, 10000000.228, 0.153927
2021-10-28T00:00:53Z, 10000000.271, 0.129044
2021-10-28T00:00:54Z, 10000000.289, 0.124408
2021-10-28T00:00:55Z, 10000000.236, 0.130184
2021-10-28T00:00:56Z,  9999999.991, 0.140516
2021-10-28T00:00:58Z,  9999999.999, 0.121670
2021-10-28T00:00:59Z,  9999999.953, 0.101640
2021-10-28T00:01:00Z, 10000000.017, 0.068694
2021-10-28T00:01:01Z, 10000000.062, 0.051497
2021-10-28T00:01:02Z,  9999999.913, 0.052961
2021-10-28T00:01:03Z,  9999999.804, 0.061323
2021-10-28T00:01:04Z,  9999999.746, 0.086179
2021-10-28T00:01:05Z,  9999999.730, 0.107022
2021-10-28T00:01:06Z,  9999999.810, 0.154799
2021-10-28T00:01:07Z,  9999999.980, 0.154662
2021-10-28T00:01:08Z,  9999999.980, 0.160778
2021-10-28T00:01:09Z, 10000000.238, 0.147979
2021-10-28T00:01:10Z, 10000000.330, 0.113177
2021-10-28T00:01:11Z, 10000000.224, 0.144696
2021-10-28T00:01:12Z, 10000000.303, 0.139590
2021-10-28T00:01:13Z, 10000000.221, 0.159644
2021-10-28T00:01:14Z, 10000000.216, 0.152873
2021-10-28T00:01:15Z, 10000000.256, 0.123233
2021-10-28T00:01:16Z, 10000000.252, 0.113560
2021-10-28T00:01:17Z, 10000000.263, 0.107174
2021-10-28T00:01:18Z, 10000000.169, 0.128267
2021-10-28T00:01:19Z, 10000000.283, 0.111231
2021-10-28T00:01:20Z, 10000000.210, 0.123027
2021-10-28T00:01:21Z, 10000000.265, 0.114599
2021-10-28T00:01:22Z, 10000000.266, 0.140608
2021-10-28T00:01:23Z, 10000000.206, 0.166340
2021-10-28T00:01:24Z, 10000000.232, 0.175129
2021-10-28T00:01:25Z, 10000000.130, 0.182733
2021-10-28T00:01:26Z, 10000000.027, 0.152488
2021-10-28T00:01:27Z,  9999999.992, 0.157327
2021-10-28T00:01:28Z,  9999999.994, 0.167359
2021-10-28T00:01:29Z, 10000000.087, 0.211787
2021-10-28T00:01:30Z, 10000000.215, 0.222410
2021-10-28T00:01:31Z, 10000000.191, 0.245136
2021-10-28T00:01:32Z, 10000000.239, 0.223645
2021-10-28T00:01:33Z, 10000000.254, 0.208198
2021-10-28T00:01:34Z, 10000000.250, 0.216980
2021-10-28T00:01:35Z, 10000000.246, 0.238565
2021-10-28T00:01:36Z, 10000000.213, 0.263939
2021-10-28T00:01:37Z, 10000000.215, 0.271309
2021-10-28T00:01:38Z, 10000000.209, 0.265607
2021-10-28T00:01:39Z, 10000000.228, 0.244631
2021-10-28T00:01:41Z, 10000000.223, 0.245419
2021-10-28T00:01:42Z, 10000000.214, 0.250736
2021-10-28T00:01:43Z, 10000000.223, 0.259692
2021-10-28T00:01:44Z, 10000000.216, 0.272764
2021-10-28T00:01:45Z, 10000000.213, 0.271596
2021-10-28T00:01:46Z, 10000000.222, 0.276090
2021-10-28T00:01:47Z, 10000000.232, 0.261135
2021-10-28T00:01:48Z, 10000000.217, 0.258822
2021-10-28T00:01:49Z, 10000000.220, 0.244362
2021-10-28T00:01:50Z, 10000000.228, 0.217990
2021-10-28T00:01:51Z, 10000000.222, 0.210311
2021-10-28T00:01:52Z, 10000000.208, 0.220540
2021-10-28T00:01:53Z, 10000000.196, 0.234082
2021-10-28T00:01:54Z, 10000000.208, 0.226284
2021-10-28T00:01:55Z, 10000000.166, 0.214999
2021-10-28T00:01:56Z, 10000000.225, 0.161210
2021-10-28T00:01:57Z, 10000000.257, 0.120331
2021-10-28T00:01:58Z, 10000000.194, 0.122943
2021-10-28T00:01:59Z, 10000000.230, 0.117185
2021-10-28T00:02:00Z, 10000000.175, 0.131449
2021-10-28T00:02:01Z, 10000000.124, 0.130991
2021-10-28T00:02:02Z, 10000000.202, 0.103290
2021-10-28T00:02:03Z, 10000000.148, 0.110909
2021-10-28T00:02:04Z, 10000000.168, 0.100692
2021-10-28T00:02:05Z, 10000000.167, 0.097192
2021-10-28T00:02:06Z, 10000000.025, 0.113446
2021-10-28T00:02:07Z,  9999999.922, 0.098792
2021-10-28T00:02:08Z,  9999999.747, 0.099950
2021-10-28T00:02:09Z,  9999999.725, 0.100375
2021-10-28T00:02:10Z,  9999999.815, 0.097987
2021-10-28T00:02:11Z,  9999999.954, 0.098820
2021-10-28T00:02:12Z, 10000000.080, 0.105177
2021-10-28T00:02:13Z, 10000000.140, 0.098660
2021-10-28T00:02:14Z, 10000000.190, 0.088236
2021-10-28T00:02:15Z, 10000000.197, 0.090416
2021-10-28T00:02:16Z, 10000000.221, 0.091072
2021-10-28T00:02:17Z, 10000000.205, 0.104122
2021-10-28T00:02:18Z, 10000000.166, 0.116035
2021-10-28T00:02:19Z, 10000000.137, 0.119982
2021-10-28T00:02:20Z, 10000000.118, 0.119083
2021-10-28T00:02:21Z, 10000000.163, 0.106789
2021-10-28T00:02:23Z, 10000000.180, 0.099934
2021-10-28T00:02:24Z, 10000000.214, 0.094642
2021-10-28T00:02:25Z, 10000000.196, 0.110854
2021-10-28T00:02:26Z, 10000000.201, 0.119115
2021-10-28T00:02:27Z, 10000000.164, 0.144880
2021-10-28T00:02:28Z, 10000000.176, 0.151922
2021-10-28T00:02:29Z, 10000000.203, 0.145278
2021-10-28T00:02:30Z, 10000000.182, 0.154336
2021-10-28T00:02:31Z, 10000000.184, 0.147840
2021-10-28T00:02:32Z, 10000000.192, 0.142134
2021-10-28T00:02:33Z, 10000000.210, 0.140638
2021-10-28T00:02:34Z, 10000000.167, 0.127420
2021-10-28T00:02:35Z, 10000000.168, 0.109318
2021-10-28T00:02:36Z, 10000000.163, 0.094490
2021-10-28T00:02:37Z, 10000000.075, 0.096770
2021-10-28T00:02:38Z, 10000000.060, 0.089748
2021-10-28T00:02:39Z,  9999999.873, 0.081006
2021-10-28T00:02:40Z,  9999999.834, 0.090528
2021-10-28T00:02:41Z,  9999999.839, 0.106731
2021-10-28T00:02:42Z,  9999999.985, 0.102585
2021-10-28T00:02:43Z, 10000000.100, 0.140341
2021-10-28T00:02:44Z, 10000000.175, 0.137651
2021-10-28T00:02:45Z, 10000000.198, 0.132578
2021-10-28T00:02:46Z, 10000000.138, 0.154184
2021-10-28T00:02:47Z, 10000000.190, 0.151874
2021-10-28T00:02:48Z, 10000000.131, 0.166789
2021-10-28T00:02:49Z, 10000000.172, 0.155312
2021-10-28T00:02:50Z, 10000000.181, 0.148588
2021-10-28T00:02:51Z, 10000000.171, 0.155552
2021-10-28T00:02:52Z, 10000000.163, 0.180502
2021-10-28T00:02:53Z, 10000000.166, 0.192279
2021-10-28T00:02:54Z, 10000000.130, 0.209959
2021-10-28T00:02:55Z, 10000000.148, 0.189504
2021-10-28T00:02:56Z, 10000000.176, 0.155182
2021-10-28T00:02:57Z, 10000000.133, 0.159617
2021-10-28T00:02:58Z, 10000000.170, 0.138837
2021-10-28T00:02:59Z, 10000000.124, 0.148871
2021-10-28T00:03:00Z, 10000000.117, 0.143986
2021-10-28T00:03:01Z, 10000000.165, 0.125469
2021-10-28T00:03:02Z, 10000000.143, 0.129225
2021-10-28T00:03:03Z, 10000000.164, 0.127416
2021-10-28T00:03:04Z, 10000000.150, 0.137659
2021-10-28T00:03:06Z, 10000000.114, 0.145584
2021-10-28T00:03:07Z, 10000000.145, 0.144996
2021-10-28T00:03:08Z, 10000000.132, 0.152701
2021-10-28T00:03:09Z, 10000000.152, 0.151577
2021-10-28T00:03:10Z, 10000000.103, 0.154485
2021-10-28T00:03:11Z,  9999999.932, 0.129244
2021-10-28T00:03:12Z,  9999999.893, 0.112747
2021-10-28T00:03:13Z,  9999999.888, 0.111494
2021-10-28T00:03:14Z,  9999999.937, 0.107019
