#,2021-10-28T00:00:00Z,N0000035,JO33lg,53.257530,6.958064,-2,Nieuwolda Netherlands,C1,CHU14
#######################################
# MetaData for Grape Gen 1 Station
#
# Station Node Number      N0000035
# Callsign                 pa0rwt
# Grid Square              JO33lg
# Lat, Long, Elv           53.257530,6.958064,-2
# City State               Nieuwolda Netherlands
# Radio1                   Flex 1500
# Radio1ID                 C1
# Antenna                  Active E-field probe; MiniWhip
# Frequency Standard       LB GPSDO
# System Info              RasPi3B+, Raspbian OS, Fldigi 4.1.13 (N8OBJ modified)
#
# Beacon Now Decoded       CHU14
#
#######################################
UTC,Freq,Vpk
2021-10-28T00:00:00Z, 14670000.692, 0.010297
2021-10-28T00:00:01Z, 14670000.109, 0.010230
2021-10-28T00:00:02Z, 14670000.065, 0.011038
2021-10-28T00:00:03Z, 14670000.167, 0.011045
2021-10-28T00:00:04Z, 14669999.866, 0.012055
2021-10-28T00:00:05Z, 14669999.962, 0.011723
2021-10-28T00:00:06Z, 14669999.809, 0.011199
2021-10-28T00:00:07Z, 14669999.914, 0.011831
2021-10-28T00:00:08Z, 14670000.030, 0.011618
2021-10-28T00:00:09Z, 14670000.297, 0.012337
2021-10-28T00:00:10Z, 14670000.440, 0.012322
2021-10-28T00:00:11Z, 14670000.358, 0.011523
2021-10-28T00:00:12Z, 14670000.162, 0.011204
2021-10-28T00:00:13Z, 14670000.653, 0.011437
2021-10-28T00:00:14Z, 14670001.089, 0.011434
2021-10-28T00:00:15Z, 14670000.346, 0.011398
2021-10-28T00:00:16Z, 14670000.642, 0.011865
2021-10-28T00:00:17Z, 14669999.753, 0.011772
2021-10-28T00:00:18Z, 14669998.865, 0.012062
2021-10-28T00:00:19Z, 14669999.519, 0.012770
2021-10-28T00:00:21Z, 14669999.816, 0.011925
2021-10-28T00:00:22Z, 14670000.901, 0.012215
2021-10-28T00:00:23Z, 14670001.472, 0.012086
2021-10-28T00:00:24Z, 14670000.742, 0.011999
2021-10-28T00:00:25Z, 14670000.562, 0.012331
2021-10-28T00:00:26Z, 14670000.180, 0.012207
2021-10-28T00:00:27Z, 14670000.438, 0.012036
2021-10-28T00:00:28Z, 14670000.538, 0.011675
2021-10-28T00:00:29Z, 14670000.118, 0.011744
2021-10-28T00:00:30Z, 14670000.266, 0.011153
2021-10-28T00:00:31Z, 14670000.580, 0.011406
