#,2021-10-28T00:00:00Z,N0000036,FN42hp,42.637539,-71.384285,33,North Chelmsford MA,G1,WWV10
#######################################
# MetaData for Grape Gen 1 Station
#
# Station Node Number      N0000036
# Callsign                 KB1HFT
# Grid Square              FN42hp
# Lat, Long, Elv           42.637539,-71.384285,33
# City State               North Chelmsford MA
# Radio1                   Grape Gen 1 Rcvr 1
# Radio1ID                 G1
# Antenna                  40m Inverted Vee
# Frequency Standard       LB GPSDO
# System Info              RasPi4B, Raspias OS, FLDigi V4.1.13 (N8OBJ Modified)
#
# Beacon Now Decoded       WWV10
#
#######################################
UTC,Freq,Vpk
2021-10-28T00:00:00Z,  9999999.507, 0.050768
2021-10-28T00:00:01Z,  9999999.470, 0.043986
2021-10-28T00:00:02Z,  9999999.531, 0.037414
2021-10-28T00:00:03Z,  9999999.662, 0.039034
2021-10-28T00:00:04Z,  9999999.763, 0.036076
2021-10-28T00:00:05Z,  9999999.783, 0.048202
2021-10-28T00:00:06Z,  9999999.687, 0.067277
2021-10-28T00:00:07Z,  9999999.699, 0.072551
2021-10-28T00:00:08Z,  9999999.649, 0.078078
2021-10-28T00:00:09Z,  9999999.682, 0.070364
2021-10-28T00:00:10Z,  9999999.688, 0.059707
2021-10-28T00:00:11Z,  9999999.714, 0.049306
2021-10-28T00:00:12Z,  9999999.746, 0.045295
2021-10-28T00:00:13Z,  9999999.816, 0.042220
2021-10-28T00:00:14Z,  9999999.881, 0.044915
2021-10-28T00:00:15Z,  9999999.840, 0.054255
2021-10-28T00:00:16Z,  9999999.813, 0.045533
2021-10-28T00:00:17Z,  9999999.705, 0.048595
2021-10-28T00:00:19Z,  9999999.601, 0.044419
2021-10-28T00:00:20Z,  9999999.583, 0.035549
2021-10-28T00:00:21Z,  9999999.627, 0.040676
2021-10-28T00:00:22Z,  9999999.665, 0.041222
2021-10-28T00:00:23Z,  9999999.721, 0.049803
2021-10-28T00:00:24Z,  9999999.761, 0.057162
2021-10-28T00:00:25Z,  9999999.707, 0.063604
2021-10-28T00:00:26Z,  9999999.638, 0.055955
2021-10-28T00:00:27Z,  9999999.637, 0.041857
2021-10-28T00:00:28Z,  9999999.632, 0.033904
2021-10-28T00:00:29Z,  9999999.653, 0.032594
2021-10-28T00:00:30Z,  9999999.718, 0.031458
2021-10-28T00:00:31Z,  9999999.738, 0.037245
2021-10-28T00:00:32Z,  9999999.720, 0.052625
2021-10-28T00:00:33Z,  9999999.788, 0.053990
2021-10-28T00:00:34Z,  9999999.746, 0.068086
2021-10-28T00:00:35Z,  9999999.713, 0.062128
2021-10-28T00:00:36Z,  9999999.709, 0.047016
2021-10-28T00:00:37Z,  9999999.654, 0.046622
2021-10-28T00:00:38Z,  9999999.713, 0.040680
2021-10-28T00:00:39Z,  9999999.718, 0.046261
2021-10-28T00:00:40Z,  9999999.643, 0.052550
2021-10-28T00:00:41Z,  9999999.604, 0.058036
2021-10-28T00:00:42Z,  9999999.585, 0.052157
2021-10-28T00:00:43Z,  9999999.585, 0.056924
2021-10-28T00:00:44Z,  9999999.733, 0.052436
2021-10-28T00:00:45Z,  9999999.850, 0.038684
2021-10-28T00:00:46Z,  9999999.776, 0.041003
2021-10-28T00:00:47Z,  9999999.643, 0.030603
2021-10-28T00:00:48Z,  9999999.532, 0.039899
2021-10-28T00:00:49Z,  9999999.514, 0.046210
2021-10-28T00:00:50Z,  9999999.571, 0.059896
2021-10-28T00:00:51Z,  9999999.784, 0.059387
2021-10-28T00:00:52Z,  9999999.801, 0.048973
2021-10-28T00:00:53Z,  9999999.729, 0.048320
2021-10-28T00:00:54Z,  9999999.829, 0.035026
2021-10-28T00:00:55Z,  9999999.841, 0.040056
2021-10-28T00:00:56Z,  9999999.796, 0.045421
2021-10-28T00:00:57Z,  9999999.745, 0.043330
2021-10-28T00:00:58Z,  9999999.707, 0.049386
2021-10-28T00:00:59Z,  9999999.574, 0.072799
2021-10-28T00:01:00Z,  9999999.638, 0.072209
2021-10-28T00:01:02Z,  9999999.684, 0.081678
2021-10-28T00:01:03Z,  9999999.681, 0.078700
2021-10-28T00:01:04Z,  9999999.672, 0.060499
2021-10-28T00:01:05Z,  9999999.695, 0.056345
2021-10-28T00:01:06Z,  9999999.659, 0.046325
2021-10-28T00:01:07Z,  9999999.545, 0.045410
2021-10-28T00:01:08Z,  9999999.631, 0.040750
2021-10-28T00:01:09Z,  9999999.526, 0.049938
2021-10-28T00:01:10Z,  9999999.546, 0.050311
2021-10-28T00:01:11Z,  9999999.664, 0.048719
2021-10-28T00:01:12Z,  9999999.662, 0.047972
2021-10-28T00:01:13Z,  9999999.771, 0.036369
2021-10-28T00:01:14Z,  9999999.839, 0.031131
2021-10-28T00:01:15Z,  9999999.899, 0.024178
2021-10-28T00:01:16Z,  9999999.818, 0.024213
2021-10-28T00:01:17Z,  9999999.710, 0.024848
2021-10-28T00:01:18Z,  9999999.713, 0.027707
2021-10-28T00:01:19Z,  9999999.614, 0.031189
2021-10-28T00:01:20Z,  9999999.691, 0.029155
2021-10-28T00:01:21Z,  9999999.811, 0.027919
2021-10-28T00:01:22Z,  9999999.716, 0.025833
2021-10-28T00:01:23Z,  9999999.715, 0.036425
2021-10-28T00:01:24Z,  9999999.714, 0.046714
2021-10-28T00:01:25Z,  9999999.640, 0.057304
2021-10-28T00:01:26Z,  9999999.721, 0.064271
2021-10-28T00:01:27Z,  9999999.802, 0.052807
2021-10-28T00:01:28Z,  9999999.870, 0.041578
2021-10-28T00:01:29Z,  9999999.879, 0.047128
2021-10-28T00:01:30Z,  9999999.896, 0.052977
2021-10-28T00:01:31Z,  9999999.817, 0.069441
2021-10-28T00:01:32Z,  9999999.733, 0.084142
2021-10-28T00:01:33Z,  9999999.745, 0.073745
2021-10-28T00:01:34Z,  9999999.739, 0.066072
2021-10-28T00:01:35Z,  9999999.807, 0.053055
2021-10-28T00:01:36Z,  9999999.841, 0.047057
2021-10-28T00:01:37Z,  9999999.847, 0.061012
2021-10-28T00:01:38Z,  9999999.832, 0.069034
2021-10-28T00:01:39Z,  9999999.734, 0.081679
2021-10-28T00:01:40Z,  9999999.717, 0.092134
2021-10-28T00:01:41Z,  9999999.736, 0.089843
2021-10-28T00:01:42Z,  9999999.771, 0.080797
2021-10-28T00:01:43Z,  9999999.716, 0.060873
2021-10-28T00:01:45Z,  9999999.650, 0.042775
2021-10-28T00:01:46Z,  9999999.590, 0.024127
2021-10-28T00:01:47Z,  9999999.506, 0.024382
2021-10-28T00:01:48Z,  9999999.595, 0.038719
2021-10-28T00:01:49Z,  9999999.607, 0.049646
2021-10-28T00:01:50Z,  9999999.602, 0.057465
2021-10-28T00:01:51Z,  9999999.622, 0.056333
2021-10-28T00:01:52Z,  9999999.591, 0.043791
2021-10-28T00:01:53Z,  9999999.645, 0.036239
2021-10-28T00:01:54Z,  9999999.628, 0.034052
2021-10-28T00:01:55Z,  9999999.656, 0.035670
2021-10-28T00:01:56Z,  9999999.730, 0.039985
2021-10-28T00:01:57Z,  9999999.776, 0.038034
2021-10-28T00:01:58Z,  9999999.871, 0.038547
2021-10-28T00:01:59Z,  9999999.805, 0.038815
2021-10-28T00:02:00Z,  9999999.722, 0.040386
2021-10-28T00:02:01Z,  9999999.678, 0.050732
2021-10-28T00:02:02Z,  9999999.629, 0.071556
2021-10-28T00:02:03Z,  9999999.669, 0.073667
2021-10-28T00:02:04Z,  9999999.778, 0.066851
2021-10-28T00:02:05Z,  9999999.783, 0.062145
2021-10-28T00:02:06Z,  9999999.833, 0.053735
2021-10-28T00:02:07Z,  9999999.848, 0.059412
2021-10-28T00:02:08Z,  9999999.716, 0.065264
2021-10-28T00:02:09Z,  9999999.720, 0.064100
2021-10-28T00:02:10Z,  9999999.717, 0.056209
2021-10-28T00:02:11Z,  9999999.782, 0.048060
2021-10-28T00:02:12Z,  9999999.815, 0.055880
2021-10-28T00:02:13Z,  9999999.793, 0.060055
2021-10-28T00:02:14Z,  9999999.749, 0.071982
2021-10-28T00:02:15Z,  9999999.703, 0.087637
2021-10-28T00:02:16Z,  9999999.744, 0.079102
2021-10-28T00:02:17Z,  9999999.857, 0.063863
2021-10-28T00:02:18Z,  9999999.999, 0.042384
2021-10-28T00:02:19Z, 10000000.049, 0.026291
2021-10-28T00:02:20Z, 10000000.013, 0.035947
2021-10-28T00:02:21Z,  9999999.938, 0.049601
2021-10-28T00:02:22Z,  9999999.714, 0.053695
2021-10-28T00:02:23Z,  9999999.620, 0.054445
2021-10-28T00:02:24Z,  9999999.621, 0.042168
2021-10-28T00:02:25Z,  9999999.554, 0.037484
2021-10-28T00:02:27Z,  9999999.654, 0.047979
2021-10-28T00:02:28Z,  9999999.654, 0.062705
2021-10-28T00:02:29Z,  9999999.616, 0.080977
2021-10-28T00:02:30Z,  9999999.691, 0.087079
2021-10-28T00:02:31Z,  9999999.700, 0.086479
2021-10-28T00:02:32Z,  9999999.773, 0.070193
2021-10-28T00:02:33Z,  9999999.773, 0.061256
2021-10-28T00:02:34Z,  9999999.749, 0.053721
2021-10-28T00:02:35Z,  9999999.740, 0.042387
2021-10-28T00:02:36Z,  9999999.737, 0.038634
2021-10-28T00:02:37Z,  9999999.799, 0.030157
2021-10-28T00:02:38Z,  9999999.751, 0.030301
2021-10-28T00:02:39Z,  9999999.734, 0.042591
2021-10-28T00:02:40Z,  9999999.739, 0.051096
2021-10-28T00:02:41Z,  9999999.618, 0.050322
2021-10-28T00:02:42Z,  9999999.664, 0.048046
2021-10-28T00:02:43Z,  9999999.632, 0.045277
2021-10-28T00:02:44Z,  9999999.594, 0.047004
2021-10-28T00:02:45Z,  9999999.651, 0.056956
2021-10-28T00:02:46Z,  9999999.626, 0.066615
2021-10-28T00:02:47Z,  9999999.611, 0.068637
2021-10-28T00:02:48Z,  9999999.603, 0.063017
2021-10-28T00:02:49Z,  9999999.609, 0.069092
2021-10-28T00:02:50Z,  9999999.637, 0.066470
2021-10-28T00:02:51Z,  9999999.692, 0.066958
2021-10-28T00:02:52Z,  9999999.746, 0.061322
2021-10-28T00:02:53Z,  9999999.719, 0.042418
2021-10-28T00:02:54Z,  9999999.773, 0.028062
2021-10-28T00:02:55Z,  9999999.724, 0.023323
2021-10-28T00:02:56Z,  9999999.713, 0.025100
2021-10-28T00:02:57Z,  9999999.764, 0.034975
2021-10-28T00:02:58Z,  9999999.631, 0.039039
2021-10-28T00:02:59Z,  9999999.724, 0.034587
2021-10-28T00:03:00Z,  9999999.677, 0.037333
2021-10-28T00:03:01Z,  9999999.637, 0.028271
2021-10-28T00:03:02Z,  9999999.713, 0.027656
2021-10-28T00:03:03Z,  9999999.658, 0.028150
2021-10-28T00:03:04Z,  9999999.638, 0.031365
2021-10-28T00:03:05Z,  9999999.753, 0.036609
2021-10-28T00:03:06Z,  9999999.735, 0.043253
2021-10-28T00:03:07Z,  9999999.716, 0.044406
2021-10-28T00:03:08Z,  9999999.754, 0.037772
2021-10-28T00:03:10Z,  9999999.768, 0.031822
2021-10-28T00:03:11Z,  9999999.805, 0.027058
2021-10-28T00:03:12Z,  9999999.804, 0.028108
2021-10-28T00:03:13Z,  9999999.760, 0.026409
2021-10-28T00:03:14Z,  9999999.664, 0.035009
2021-10-28T00:03:15Z,  9999999.637, 0.039087
2021-10-28T00:03:16Z,  9999999.634, 0.039059
2021-10-28T00:03:17Z,  9999999.658, 0.048085
2021-10-28T00:03:18Z,  9999999.667, 0.051274
2021-10-28T00:03:19Z,  9999999.670, 0.054705
2021-10-28T00:03:20Z,  9999999.681, 0.069714
2021-10-28T00:03:21Z,  9999999.667, 0.068590
2021-10-28T00:03:22Z,  9999999.737, 0.056248
2021-10-28T00:03:23Z,  9999999.761, 0.048224
2021-10-28T00:03:24Z,  9999999.748, 0.036608
2021-10-28T00:03:25Z,  9999999.726, 0.035956
2021-10-28T00:03:26Z,  9999999.676, 0.043019
2021-10-28T00:03:27Z,  9999999.546, 0.041607
2021-10-28T00:03:28Z,  9999999.538, 0.043454
2021-10-28T00:03:29Z,  9999999.530, 0.046358
2021-10-28T00:03:30Z,  9999999.524, 0.045368
2021-10-28T00:03:31Z,  9999999.639, 0.057913
2021-10-28T00:03:32Z,  9999999.627, 0.069024
2021-10-28T00:03:33Z,  9999999.602, 0.079764
2021-10-28T00:03:34Z,  9999999.637, 0.084048
2021-10-28T00:03:35Z,  9999999.767, 0.067365
2021-10-28T00:03:36Z,  9999999.806, 0.056374
2021-10-28T00:03:37Z,  9999999.828, 0.056948
2021-10-28T00:03:38Z,  9999999.789, 0.068944
2021-10-28T00:03:39Z,  9999999.661, 0.088353
2021-10-28T00:03:40Z,  9999999.646, 0.095175
2021-10-28T00:03:41Z,  9999999.652, 0.084179
2021-10-28T00:03:42Z,  9999999.727, 0.064662
2021-10-28T00:03:43Z,  9999999.800, 0.046313
2021-10-28T00:03:44Z,  9999999.821, 0.034938
2021-10-28T00:03:45Z,  9999999.814, 0.039348
2021-10-28T00:03:46Z,  9999999.743, 0.056271
2021-10-28T00:03:47Z,  9999999.718, 0.058862
2021-10-28T00:03:48Z,  9999999.794, 0.049928
2021-10-28T00:03:49Z,  9999999.824, 0.040568
2021-10-28T00:03:50Z,  9999999.818, 0.040503
2021-10-28T00:03:52Z,  9999999.746, 0.065152
2021-10-28T00:03:53Z,  9999999.674, 0.086742
2021-10-28T00:03:54Z,  9999999.586, 0.083668
2021-10-28T00:03:55Z,  9999999.589, 0.066474
2021-10-28T00:03:56Z,  9999999.611, 0.043231
2021-10-28T00:03:57Z,  9999999.593, 0.040674
2021-10-28T00:03:58Z,  9999999.654, 0.062042
2021-10-28T00:03:59Z,  9999999.654, 0.085681
2021-10-28T00:04:00Z,  9999999.600, 0.097643
2021-10-28T00:04:01Z,  9999999.637, 0.105665
2021-10-28T00:04:02Z,  9999999.651, 0.109821
2021-10-28T00:04:03Z,  9999999.643, 0.111044
2021-10-28T00:04:04Z,  9999999.672, 0.118528
2021-10-28T00:04:05Z,  9999999.629, 0.098723
2021-10-28T00:04:06Z,  9999999.641, 0.071555
2021-10-28T00:04:07Z,  9999999.664, 0.053657
2021-10-28T00:04:08Z,  9999999.666, 0.042974
2021-10-28T00:04:09Z,  9999999.731, 0.049975
2021-10-28T00:04:10Z,  9999999.755, 0.051613
2021-10-28T00:04:11Z,  9999999.667, 0.040460
2021-10-28T00:04:12Z,  9999999.654, 0.027834
2021-10-28T00:04:13Z,  9999999.619, 0.020324
2021-10-28T00:04:14Z,  9999999.681, 0.018536
2021-10-28T00:04:15Z,  9999999.806, 0.021191
2021-10-28T00:04:16Z,  9999999.718, 0.023226
2021-10-28T00:04:17Z,  9999999.713, 0.029166
2021-10-28T00:04:18Z,  9999999.617, 0.033242
2021-10-28T00:04:19Z,  9999999.839, 0.037024
2021-10-28T00:04:20Z,  9999999.832, 0.051619
2021-10-28T00:04:21Z,  9999999.828, 0.053824
2021-10-28T00:04:22Z,  9999999.769, 0.050548
2021-10-28T00:04:23Z,  9999999.718, 0.045264
2021-10-28T00:04:24Z,  9999999.668, 0.024854
2021-10-28T00:04:25Z,  9999999.671, 0.022023
2021-10-28T00:04:26Z,  9999999.692, 0.035653
2021-10-28T00:04:27Z,  9999999.580, 0.042023
2021-10-28T00:04:28Z,  9999999.675, 0.046082
2021-10-28T00:04:29Z,  9999999.718, 0.040507
2021-10-28T00:04:30Z,  9999999.693, 0.032354
2021-10-28T00:04:31Z,  9999999.741, 0.032715
2021-10-28T00:04:32Z,  9999999.716, 0.035022
2021-10-28T00:04:33Z,  9999999.671, 0.035112
2021-10-28T00:04:35Z,  9999999.713, 0.044570
2021-10-28T00:04:36Z,  9999999.726, 0.069101
2021-10-28T00:04:37Z,  9999999.677, 0.089547
2021-10-28T00:04:38Z,  9999999.693, 0.095220
2021-10-28T00:04:39Z,  9999999.623, 0.079021
2021-10-28T00:04:40Z,  9999999.603, 0.053968
2021-10-28T00:04:41Z,  9999999.632, 0.047591
2021-10-28T00:04:42Z,  9999999.674, 0.056680
2021-10-28T00:04:43Z,  9999999.738, 0.069351
2021-10-28T00:04:44Z,  9999999.735, 0.068263
2021-10-28T00:04:45Z,  9999999.611, 0.049870
2021-10-28T00:04:46Z,  9999999.599, 0.036243
2021-10-28T00:04:47Z,  9999999.668, 0.028132
2021-10-28T00:04:48Z,  9999999.755, 0.028897
2021-10-28T00:04:49Z,  9999999.851, 0.042546
2021-10-28T00:04:50Z,  9999999.709, 0.038472
2021-10-28T00:04:51Z,  9999999.581, 0.043576
2021-10-28T00:04:52Z,  9999999.537, 0.050409
2021-10-28T00:04:53Z,  9999999.536, 0.052289
2021-10-28T00:04:54Z,  9999999.695, 0.060957
2021-10-28T00:04:55Z,  9999999.710, 0.069872
2021-10-28T00:04:56Z,  9999999.662, 0.065533
2021-10-28T00:04:57Z,  9999999.672, 0.078819
2021-10-28T00:04:58Z,  9999999.664, 0.095628
2021-10-28T00:04:59Z,  9999999.689, 0.093873
2021-10-28T00:05:00Z,  9999999.718, 0.095693
2021-10-28T00:05:01Z,  9999999.694, 0.086885
2021-10-28T00:05:02Z,  9999999.649, 0.082520
2021-10-28T00:05:03Z,  9999999.634, 0.087957
2021-10-28T00:05:04Z,  9999999.641, 0.082687
2021-10-28T00:05:05Z,  9999999.624, 0.066996
2021-10-28T00:05:06Z,  9999999.667, 0.048584
2021-10-28T00:05:07Z,  9999999.689, 0.033002
2021-10-28T00:05:08Z,  9999999.746, 0.029613
2021-10-28T00:05:09Z,  9999999.852, 0.031999
2021-10-28T00:05:10Z,  9999999.841, 0.055507
2021-10-28T00:05:11Z,  9999999.844, 0.087630
2021-10-28T00:05:12Z,  9999999.841, 0.104669
2021-10-28T00:05:13Z,  9999999.895, 0.101033
2021-10-28T00:05:14Z,  9999999.941, 0.079774
2021-10-28T00:05:15Z,  9999999.972, 0.053251
2021-10-28T00:05:17Z,  9999999.950, 0.051367
2021-10-28T00:05:18Z,  9999999.870, 0.063397
2021-10-28T00:05:19Z,  9999999.798, 0.083455
2021-10-28T00:05:20Z,  9999999.744, 0.097527
2021-10-28T00:05:21Z,  9999999.706, 0.094484
2021-10-28T00:05:22Z,  9999999.664, 0.088177
2021-10-28T00:05:23Z,  9999999.675, 0.075404
2021-10-28T00:05:24Z,  9999999.685, 0.074087
2021-10-28T00:05:25Z,  9999999.707, 0.093174
2021-10-28T00:05:26Z,  9999999.696, 0.119973
2021-10-28T00:05:27Z,  9999999.671, 0.136919
2021-10-28T00:05:28Z,  9999999.655, 0.141654
2021-10-28T00:05:29Z,  9999999.658, 0.128118
2021-10-28T00:05:30Z,  9999999.659, 0.099620
2021-10-28T00:05:31Z,  9999999.709, 0.086325
2021-10-28T00:05:32Z,  9999999.743, 0.074810
2021-10-28T00:05:33Z,  9999999.774, 0.066977
2021-10-28T00:05:34Z,  9999999.815, 0.059095
2021-10-28T00:05:35Z,  9999999.773, 0.041850
2021-10-28T00:05:36Z,  9999999.768, 0.033472
2021-10-28T00:05:37Z,  9999999.753, 0.036537
2021-10-28T00:05:38Z,  9999999.691, 0.047160
2021-10-28T00:05:39Z,  9999999.687, 0.068121
2021-10-28T00:05:40Z,  9999999.681, 0.087387
2021-10-28T00:05:41Z,  9999999.689, 0.092887
2021-10-28T00:05:42Z,  9999999.744, 0.100819
2021-10-28T00:05:43Z,  9999999.744, 0.094919
2021-10-28T00:05:44Z,  9999999.731, 0.079024
2021-10-28T00:05:45Z,  9999999.640, 0.061122
2021-10-28T00:05:46Z,  9999999.649, 0.047531
2021-10-28T00:05:47Z,  9999999.670, 0.047858
2021-10-28T00:05:48Z,  9999999.670, 0.060282
2021-10-28T00:05:49Z,  9999999.768, 0.069726
2021-10-28T00:05:50Z,  9999999.782, 0.073461
2021-10-28T00:05:51Z,  9999999.775, 0.070422
2021-10-28T00:05:52Z,  9999999.760, 0.061160
2021-10-28T00:05:53Z,  9999999.675, 0.057184
2021-10-28T00:05:54Z,  9999999.642, 0.060588
2021-10-28T00:05:55Z,  9999999.645, 0.064719
2021-10-28T00:05:56Z,  9999999.661, 0.075396
2021-10-28T00:05:57Z,  9999999.756, 0.092228
2021-10-28T00:05:58Z,  9999999.797, 0.101008
2021-10-28T00:05:59Z,  9999999.827, 0.111990
2021-10-28T00:06:01Z,  9999999.836, 0.121360
2021-10-28T00:06:02Z,  9999999.832, 0.118616
2021-10-28T00:06:03Z,  9999999.868, 0.099048
2021-10-28T00:06:04Z,  9999999.872, 0.074166
2021-10-28T00:06:05Z,  9999999.877, 0.048888
2021-10-28T00:06:06Z,  9999999.883, 0.035596
2021-10-28T00:06:07Z,  9999999.824, 0.040679
2021-10-28T00:06:08Z,  9999999.813, 0.045781
2021-10-28T00:06:09Z,  9999999.757, 0.048071
2021-10-28T00:06:10Z,  9999999.712, 0.051307
2021-10-28T00:06:11Z,  9999999.713, 0.055029
2021-10-28T00:06:12Z,  9999999.708, 0.052496
2021-10-28T00:06:13Z,  9999999.781, 0.046687
2021-10-28T00:06:14Z,  9999999.793, 0.039718
2021-10-28T00:06:15Z,  9999999.770, 0.029764
2021-10-28T00:06:16Z,  9999999.658, 0.022000
2021-10-28T00:06:17Z,  9999999.632, 0.035014
2021-10-28T00:06:18Z,  9999999.662, 0.052689
2021-10-28T00:06:19Z,  9999999.672, 0.062731
2021-10-28T00:06:20Z,  9999999.782, 0.074930
2021-10-28T00:06:21Z,  9999999.754, 0.075240
2021-10-28T00:06:22Z,  9999999.722, 0.066522
