#,2021-10-28T00:12:06Z,N0000029,DM45dc,35.09978,-111.69310,2091,Flagstaff AZ,G1,WWV10
#######################################
# MetaData for Grape Gen 1 Station
#
# Station Node Number      N0000029
# Callsign                 W7LUX
# Grid Square              DM45dc
# Lat, Long, Elv           35.09978,-111.69310,2091
# City State               Flagstaff AZ
# Radio1                   Grape Gen 1 Rcvr 1
# Radio1ID                 G1
# Antenna                  80 Meter Dipole
# Frequency Standard       LB GPSDO
# System Info              RasPi4B, Raspias OS, FLDigi V4.1.13 (N8OBJ Modified)
#
# Beacon Now Decoded       WWV10
#
#######################################
UTC,Freq,Vpk
2021-10-28T00:12:08Z,  9999999.866, 0.071229
2021-10-28T00:12:09Z,  9999999.818, 0.104189
2021-10-28T00:12:10Z,  9999999.792, 0.132549
2021-10-28T00:12:11Z,  9999999.837, 0.157678
2021-10-28T00:12:12Z,  9999999.822, 0.180168
2021-10-28T00:12:13Z,  9999999.801, 0.219256
2021-10-28T00:12:14Z,  9999999.765, 0.249519
2021-10-28T00:12:15Z,  9999999.766, 0.236207
2021-10-28T00:12:16Z,  9999999.767, 0.216157
2021-10-28T00:12:17Z,  9999999.754, 0.189499
2021-10-28T00:12:18Z,  9999999.756, 0.174809
2021-10-28T00:12:19Z,  9999999.744, 0.189901
2021-10-28T00:12:20Z,  9999999.731, 0.216189
2021-10-28T00:12:21Z,  9999999.752, 0.251867
2021-10-28T00:12:22Z,  9999999.758, 0.281853
2021-10-28T00:12:23Z,  9999999.771, 0.285112
2021-10-28T00:12:24Z,  9999999.785, 0.264289
2021-10-28T00:12:25Z,  9999999.784, 0.232934
2021-10-28T00:12:26Z,  9999999.812, 0.201472
2021-10-28T00:12:27Z,  9999999.823, 0.195053
2021-10-28T00:12:28Z,  9999999.816, 0.217217
2021-10-28T00:12:29Z,  9999999.817, 0.260219
2021-10-28T00:12:30Z,  9999999.795, 0.330324
2021-10-28T00:12:31Z,  9999999.780, 0.389420
2021-10-28T00:12:32Z,  9999999.780, 0.422901
2021-10-28T00:12:34Z,  9999999.783, 0.431127
2021-10-28T00:12:35Z,  9999999.790, 0.406917
2021-10-28T00:12:36Z,  9999999.786, 0.381960
2021-10-28T00:12:37Z,  9999999.771, 0.373709
2021-10-28T00:12:38Z,  9999999.761, 0.367093
2021-10-28T00:12:39Z,  9999999.758, 0.359362
2021-10-28T00:12:40Z,  9999999.761, 0.332510
2021-10-28T00:12:41Z,  9999999.768, 0.286060
2021-10-28T00:12:42Z,  9999999.785, 0.228367
2021-10-28T00:12:43Z,  9999999.769, 0.167441
2021-10-28T00:12:44Z,  9999999.795, 0.118033
2021-10-28T00:12:45Z,  9999999.785, 0.096383
2021-10-28T00:12:46Z,  9999999.759, 0.097830
2021-10-28T00:12:47Z,  9999999.772, 0.131378
2021-10-28T00:12:48Z,  9999999.748, 0.180367
2021-10-28T00:12:49Z,  9999999.751, 0.213710
2021-10-28T00:12:50Z,  9999999.760, 0.237454
2021-10-28T00:12:51Z,  9999999.764, 0.241776
2021-10-28T00:12:52Z,  9999999.758, 0.265842
2021-10-28T00:12:53Z,  9999999.763, 0.306679
2021-10-28T00:12:54Z,  9999999.763, 0.347765
2021-10-28T00:12:55Z,  9999999.750, 0.372861
2021-10-28T00:12:56Z,  9999999.751, 0.346842
2021-10-28T00:12:57Z,  9999999.760, 0.284206
2021-10-28T00:12:58Z,  9999999.775, 0.222285
2021-10-28T00:12:59Z,  9999999.760, 0.169567
2021-10-28T00:13:00Z,  9999999.759, 0.149317
2021-10-28T00:13:01Z,  9999999.743, 0.182284
2021-10-28T00:13:02Z,  9999999.732, 0.216276
2021-10-28T00:13:03Z,  9999999.767, 0.255170
2021-10-28T00:13:04Z,  9999999.762, 0.284186
2021-10-28T00:13:05Z,  9999999.762, 0.294446
2021-10-28T00:13:06Z,  9999999.766, 0.302949
2021-10-28T00:13:07Z,  9999999.734, 0.304743
2021-10-28T00:13:08Z,  9999999.733, 0.332512
2021-10-28T00:13:09Z,  9999999.730, 0.355974
2021-10-28T00:13:10Z,  9999999.731, 0.391153
2021-10-28T00:13:11Z,  9999999.742, 0.448711
2021-10-28T00:13:12Z,  9999999.733, 0.492348
2021-10-28T00:13:13Z,  9999999.741, 0.520811
2021-10-28T00:13:14Z,  9999999.744, 0.532888
2021-10-28T00:13:15Z,  9999999.749, 0.527065
2021-10-28T00:13:17Z,  9999999.756, 0.486898
2021-10-28T00:13:18Z,  9999999.749, 0.453235
2021-10-28T00:13:19Z,  9999999.742, 0.429880
2021-10-28T00:13:20Z,  9999999.733, 0.387518
2021-10-28T00:13:21Z,  9999999.741, 0.331177
2021-10-28T00:13:22Z,  9999999.717, 0.262826
2021-10-28T00:13:23Z,  9999999.724, 0.201145
2021-10-28T00:13:24Z,  9999999.752, 0.162730
2021-10-28T00:13:25Z,  9999999.753, 0.166508
2021-10-28T00:13:26Z,  9999999.758, 0.193910
2021-10-28T00:13:27Z,  9999999.747, 0.224762
2021-10-28T00:13:28Z,  9999999.723, 0.265590
2021-10-28T00:13:29Z,  9999999.713, 0.301491
2021-10-28T00:13:30Z,  9999999.710, 0.316738
2021-10-28T00:13:31Z,  9999999.728, 0.322467
2021-10-28T00:13:32Z,  9999999.717, 0.316403
2021-10-28T00:13:33Z,  9999999.721, 0.297758
2021-10-28T00:13:34Z,  9999999.743, 0.280410
2021-10-28T00:13:35Z,  9999999.720, 0.247418
2021-10-28T00:13:36Z,  9999999.754, 0.219158
2021-10-28T00:13:37Z,  9999999.758, 0.201132
2021-10-28T00:13:38Z,  9999999.740, 0.187421
2021-10-28T00:13:39Z,  9999999.750, 0.186359
2021-10-28T00:13:40Z,  9999999.728, 0.190684
2021-10-28T00:13:41Z,  9999999.715, 0.201645
2021-10-28T00:13:42Z,  9999999.722, 0.220627
2021-10-28T00:13:43Z,  9999999.726, 0.252255
2021-10-28T00:13:44Z,  9999999.727, 0.315233
2021-10-28T00:13:45Z,  9999999.740, 0.390008
2021-10-28T00:13:46Z,  9999999.740, 0.445423
2021-10-28T00:13:47Z,  9999999.728, 0.466084
